tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Unity Apartment,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹52 Lac,"₹13,684 /sqft",380 sqft,(35 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹32,552 /sqft",384 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Vaishno Heights,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹31,177 /sqft",433 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ruparel Optima,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹78 Lac,"₹24,074 /sqft",324 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
AR Avenue,RESALE,"in Veera Desai Road, Andheri West",1 BHK Flat,₹1.25 Cr,"₹27,777 /sqft",650 sqft,(60 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
nandanvan gruhnirman sanstha,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹27 Lac,"₹15,000 /sqft",180 sqft,(17 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Phoenix Market City,RESALE,"in LBS Marg, Mumbai",1 BHK Flat,₹75 Lac,"₹17,045 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
shakti sadan chs,RESALE,"in Marine Lines East, Mumbai",1 BHK Flat,₹85 Lac,"₹26,153 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Raheja Township,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.15 Cr,"₹26,744 /sqft",525 sqft,(49 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
The Residency by Lak and Hanware Realty LLP,RESALE,"in Amboli, Andheri West",1 BHK Flat,₹85 Lac,"₹25,000 /sqft",340 sqft,(32 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
MK Gabino,RESALE,"in Amboli, Andheri West",1 BHK Flat,₹85 Lac,"₹12,142 /sqft",700 sqft,(65 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
"keemaya uk iona,jogeshwari east,",RESALE,"in Jogeshwari East, Mumbai",1 BHK Flat,₹74 Lac,"₹15,744 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
"Gajanan Paradigm Antalya,",RESALE,"in Oshiwara, Jogeshwari",1 BHK Flat,₹75 Lac,"₹21,428 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Avant Hillway,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹57 Lac,"₹19,453 /sqft",293 sqft,(27 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Agarwal Floresta,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹85 Lac,"₹17,241 /sqft",870 sqft,(81 sqm),Built-up Area,1 BHK,(2  Baths),Under Construction
JE and VEE Om Trimurti,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹55 Lac,"₹9,945 /sqft",553 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
Avant Hillway,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹80 Lac,"₹20,408 /sqft",660 sqft,(61 sqm),Built-up Area,1 BHK,(1  Bath),Under Construction
"Stans 95 West,Malvani,",RESALE,"in Malvani, Malad West",1 BHK Flat,₹45 Lac,"₹14,018 /sqft",321 sqft,(30 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
Paradigm Ariana Residency,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹75 Lac,"₹19,736 /sqft",380 sqft,(35 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Je and Vee Kedarnath,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹65 Lac,"₹18,258 /sqft",356 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
VKLAL HARI PHASE 1,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹75 Lac,"₹18,155 /sqft",413 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
"Flat no 529, BLDG No 59/C Wing",RESALE,"in Lallubhai Compound, Govandi East, Mumbai",1 BHK Flat,₹18 Lac,"₹8,000 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
loknirman ambedkar society,RESALE,"in Pali Hill, Mumbai",1 BHK Flat,₹3.75 Cr,"₹55,970 /sqft",670 sqft,(62 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Shree Usha Complex Chs Khandelwal Marg Bhandup W,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹19,642 /sqft",560 sqft,(52 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sarvesh Tower,RESALE,"in Nahur East, Bhandup",1 BHK Flat,₹79 Lac,"₹17,173 /sqft",460 sqft,(43 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Chandralok Apartments,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹92 Lac,"₹22,439 /sqft",410 sqft,(38 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
New Ashapura Heritage,RESALE,"in Charkop, Kandivali West",1 BHK Flat,₹65 Lac,"₹21,594 /sqft",301 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Rustomjee Meridian,RESALE,"in Charkop, Kandivali West",1 BHK Flat,₹100 Lac,"₹13,908 /sqft",719 sqft,(67 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
DB Ozone,RESALE,"in Dahisar, Mumbai",1 BHK Flat,₹54 Lac,"₹9,230 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Om Geetanjali,RESALE,"in Vaishali Nagar, Dahisar, Mumbai",1 BHK Flat,₹85 Lac,"₹15,454 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
xyz,RESALE,"in Matunga East, Mumbai",1 BHK Flat,₹1.8 Cr,"₹40,000 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Mahankali darshan,RESALE,"in Gundavali, Andheri East",1 BHK Flat,₹45 Lac,"₹14,754 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Siddhi Vinayak Chs,RESALE,"in Maharashtra Nagar,Mankhurd, Mumbai",1 BHK Flat,₹26 Lac,"₹7,428 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Vasudev complex,RESALE,"in Mira Gaothan, Dahisar, Mumbai",1 BHK Flat,₹45 Lac,"₹9,090 /sqft",495 sqft,(46 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Options Emporio,RESALE,"in Vile Parle West, Mumbai",1 BHK Flat,₹1.49 Cr,"₹26,607 /sqft",560 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Dynamix Avanya,RESALE,"in Dahisar East, Mumbai",1 BHK Flat,₹88 Lac,"₹22,110 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Mahashakti Apartment,RESALE,"in Virar, Mumbai",1 BHK Flat,₹14 Lac,"₹3,783 /sqft",370 sqft,(34 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
l and t chs,RESALE,"in Vijay Nagar, MIDC, Marol",1 BHK Flat,₹80 Lac,"₹22,222 /sqft",360 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
On Request,RESALE,"in Tilak nagar, Chembur",1 BHK Flat,₹1.15 Cr,"₹23,711 /sqft",750 sqft,(70 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Nutan Paradise,RESALE,"in Jawahar Nagar, Goregaon West",1 BHK Flat,₹82 Lac,"₹21,025 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
iraniwadi 4 number road,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹37 Lac,"₹13,703 /sqft",270 sqft,(25 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Shree Vijapur CHS,RESALE,"in Ashok Nagar Kandivali, Kandivali East",1 BHK Flat,₹57 Lac,"₹16,285 /sqft",350 sqft,(33 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Sukh Shanti CHS,RESALE,"in Tagore Nagar, Vikhroli East",1 BHK Flat,₹45 Lac,"₹37,500 /sqft",120 sqft,(11 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
"301,Rishab house,M.A/Duncan Road",RESALE,"in Cawasji Patel Tank, Bhuleshwar, Mumbai",1 BHK Flat,₹50 Lac,"₹33,333 /sqft",150 sqft,(14 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
jeevandeep SRA chs,RESALE,"in Mahavir Nagar, Kandivali West",1 BHK Flat,₹45 Lac,"₹20,000 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
shakti sadan chs,RESALE,"in Bandra East, Mumbai",1 BHK Flat,₹1.25 Cr,"₹34,246 /sqft",365 sqft,(34 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
shri sai akar,RESALE,"in Gorai, Mumbai",1 BHK Flat,₹1 Cr,"₹24,096 /sqft",415 sqft,(39 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Shakti tower co.op.hsg society,RESALE,"in Jaya Nagar, Dahisar, Mumbai",1 BHK Flat,₹1.05 Cr,"₹25,301 /sqft",415 sqft,(39 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ganesh Darshan,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹82 Lac,"₹21,298 /sqft",385 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Royal Oasis,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹1.45 Cr,"₹32,222 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sai Siddhi CHS,RESALE,"in Vinobha Bhave Nagar, Kurla, Mumbai",1 BHK Flat,₹75 Lac,"₹27,777 /sqft",270 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Vraj Dham CHSL,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.07 Cr,"₹19,814 /sqft",540 sqft,(50 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Mhada Colony,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹38 Lac,"₹19,000 /sqft",200 sqft,(19 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Apartment,RESALE,"in Navghar, Mulund",1 BHK Flat,₹45 Lac,"₹10,000 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Galagxy heights,RESALE,"in Shastri Nagar, Mitha Nagar, Goregaon West",1 BHK Flat,₹1 Cr,"₹17,094 /sqft",585 sqft,(54 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Romel Sra Building,RESALE,"in Amboli, Andheri West",1 BHK Flat,₹55 Lac,"₹24,444 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Maruti Apartment,RESALE,"in Tambe Nagar, Mulund West",1 BHK Flat,₹65 Lac,"₹19,117 /sqft",370 sqft,(34 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
CSR Complex,RESALE,"in Kandivali West, Mumbai",1 BHK Flat,₹45 Lac,"₹13,235 /sqft",340 sqft,(32 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Saptrashi Tower,RESALE,"in New Mhada Society, Malad West",1 BHK Flat,₹53 Lac,"₹17,096 /sqft",310 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
DGS Sheetal Tapovan,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹81 Lac,"₹25,000 /sqft",324 sqft,(30 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shraddha Passion,RESALE,"in Tagore Nagar, Vikhroli East",1 BHK Flat,₹88 Lac,"₹21,568 /sqft",408 sqft,(38 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Shreeji Complex Chs,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹92 Lac,"₹17,933 /sqft",513 sqft,(48 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Dharmi Jagan Chs,RESALE,"in Versova, Andheri West",1 BHK Flat,₹15 Lac,"₹6,000 /sqft",250 sqft,(23 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
shakti tower,RESALE,"in Shakti Nagar, Dahisar, Mumbai",1 BHK Flat,₹1.05 Cr,"₹19,090 /sqft",550 sqft,(51 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Chhotalal Villa,RESALE,"in Amrut Nagar, Ghatkopar",1 BHK Flat,₹85 Lac,"₹18,279 /sqft",550 sqft,(51 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
DB Ozone,RESALE,"in Dahisar, Mumbai",1 BHK Flat,₹52 Lac,"₹11,685 /sqft",585 sqft,(54 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Bhudgard CHS,RESALE,"in 4 Bunglows, Andheri West",1 BHK Flat,₹90 Lac,"₹27,950 /sqft",400 sqft,(37 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
I-Stay,RESALE,"in Vijay Nagar, MIDC, Marol",1 BHK Flat,₹1.7 Cr,"₹38,202 /sqft",445 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Rambhau Barve Marg,RESALE,"in Vile Parle East, Mumbai",1 BHK Flat,₹1.23 Cr,"₹35,142 /sqft",525 sqft,(49 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Adityaraj Shiv raj,RESALE,"in Kannamwar Nagar 2, Vikhroli East",1 BHK Flat,₹69 Lac,"₹16,870 /sqft",660 sqft,(61 sqm),Super Built-up Area,1 BHK,(2  Baths),Under Construction
Rajshree Kutir,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹85 Lac,"₹23,611 /sqft",500 sqft,(46 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Adityaraj Central,RESALE,"in Pant Nagar, Ghatkopar",1 BHK Flat,₹98 Lac,"₹22,843 /sqft",429 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Bhakti Heights CHS,RESALE,"in Tilak nagar, Chembur",1 BHK Flat,₹90 Lac,"₹27,692 /sqft",325 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ahmed Batul House,RESALE,"in Byculla, Mumbai",1 BHK Flat,₹1.25 Cr,"₹31,250 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Shraddha Autumn Park,RESALE,"in Kanjurmarg East, Mumbai",1 BHK Flat,₹78 Lac,"₹16,250 /sqft",480 sqft,(45 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Evening Glory CHS,RESALE,"in Raheja Vihar, Chandivali",1 BHK Flat,₹98 Lac,"₹25,128 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Saurabh CHS,RESALE,"in Versova Village, Andheri West",1 BHK Flat,₹15 Lac,"₹7,142 /sqft",210 sqft,(20 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Sapphire lake side society,RESALE,"in Tunga Village, Chandivali",1 BHK Flat,₹1.3 Cr,"₹20,000 /sqft",650 sqft,(60 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Bhudgard CHS,RESALE,"in 4 Bunglows, Andheri West",1 BHK Flat,₹90 Lac,"₹27,950 /sqft",322 sqft,(30 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kateeleshwari Apartment,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.09 Cr,"₹25,057 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Om shakti Moti Nagar,RESALE,"in Moti Nagar, Mulund West",1 BHK Flat,₹50 Lac,"₹14,285 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Sheth Vasant Pride,RESALE,"in Thakur complex, Kandivali East",1 BHK Flat,₹1.12 Cr,"₹23,578 /sqft",475 sqft,(44 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
omkar jaldhara,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹39 Lac,"₹14,444 /sqft",350 sqft,(33 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Madhuvan Chs,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.2 Cr,"₹26,666 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Suyog CHS,RESALE,"in Goregaon West, Mumbai",1 BHK Flat,₹87 Lac,"₹24,166 /sqft",360 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1.05 Cr,"₹31,531 /sqft",333 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
bhudargadh society,RESALE,"in 4 Bunglows, Andheri West",1 BHK Flat,₹90 Lac,"₹27,950 /sqft",400 sqft,(37 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Aurugaie residency,RESALE,"in Thakur complex, Kandivali East",1 BHK Flat,₹1.05 Cr,"₹23,127 /sqft",454 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Swapna Kiran Chs,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹85 Lac,"₹17,418 /sqft",488 sqft,(45 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
sai mauli wing room no 601,RESALE,"in Marzban Parsi Colony, Kamathipura, Mumbai",1 BHK Flat,₹25 Lac,"₹5,494 /sqft",455 sqft,(42 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Brahma Apartments,RESALE,"in Malad, Mumbai",1 BHK Flat,₹51 Lac,"₹11,860 /sqft",570 sqft,(53 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Standlone Building,RESALE,"in Dadar West, Mumbai",1 BHK Flat,₹1.5 Cr,"₹37,500 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
kadri building,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹65 Lac,"₹12,037 /sqft",540 sqft,(50 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Omkar Signet,RESALE,"in Malad East, Mumbai",1 BHK Flat,₹1 Cr,"₹30,030 /sqft",333 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Kukreja Complex,RESALE,"in Govind Nagar, Bhandup West",1 BHK Flat,₹1.15 Cr,"₹19,166 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
shree swami samrtha tower,RESALE,"in Prabhadevi, Mumbai",1 BHK Flat,₹1.95 Cr,"₹55,714 /sqft",350 sqft,(33 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Mahalaxmi Lakhpati Bhavan CHS Ltd.,RESALE,"in Jacob Circle, Mumbai",1 BHK Flat,₹1.15 Cr,"₹46,370 /sqft",248 sqft,(23 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
ajmera green infinity,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹1.25 Cr,"₹34,722 /sqft",360 sqft,(33 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Akshay 1 Platinum Corp,RESALE,"in DN Nagar, Andheri West",1 BHK Flat,₹1.1 Cr,"₹35,598 /sqft",370 sqft,(34 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Galaxy Apartments,RESALE,"in Kurla East, Mumbai",1 BHK Flat,₹80 Lac,"₹18,181 /sqft",440 sqft,(41 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Prathmesh Apartments,RESALE,"in Matunga East, Mumbai",1 BHK Flat,₹85 Lac,"₹28,333 /sqft",300 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Matrucaya cottage,RESALE,"in Marve Road, Malad West",1 BHK Flat,₹27 Lac,"₹6,750 /sqft",400 sqft,(37 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Shri Siddhi CHS Ltd Building No 69,RESALE,"in Nehru Nagar, Kanjurmarg East",1 BHK Flat,₹79 Lac,"₹25,901 /sqft",305 sqft,(28 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Surya Apartment,RESALE,"in Breach Candy, Cumbala Hill, Mumbai",1 BHK Flat,₹4.5 Cr,"₹56,250 /sqft",800 sqft,(74 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
yello rose chsl,RESALE,"in IC Colony, Borivali West",1 BHK Flat,₹88 Lac,"₹25,142 /sqft",520 sqft,(48 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Shanti Smruti,RESALE,"in Powai, Mumbai",1 BHK Flat,₹85 Lac,"₹16,346 /sqft",520 sqft,(48 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Hareshwar Society,RESALE,"in Eksar, Borivali West",1 BHK Flat,₹95 Lac,"₹19,000 /sqft",500 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
On Request,RESALE,"in Kannamwar Nagar 1, Vikhroli East",1 BHK Flat,₹68 Lac,"₹20,118 /sqft",325 sqft,(30 sqm),Built-up Area,1 BHK,(2  Baths),Under Construction
Apartment building,RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹92 Lac,"₹19,166 /sqft",590 sqft,(55 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Rose Kunj Apartment,RESALE,"in Bandra West, Mumbai",1 BHK Flat,₹1.7 Cr,"₹24,286 /sqft",700 sqft,(65 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Pooja,RESALE,"in Bandra West, Mumbai",1 BHK Flat,₹1.25 Cr,"₹45,454 /sqft",275 sqft,(26 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Mohid Swiz Heights,RESALE,"in Lokhandwala Andheri West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹24,444 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Aim Paradise,RESALE,"in Jogeshwari East, Mumbai",1 BHK Flat,₹89 Lac,"₹22,139 /sqft",402 sqft,(37 sqm),Carpet Area,1 BHK,(2  Baths),Under Construction
21 square,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.5 Cr,"₹34,722 /sqft",432 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Swagat Society,RESALE,"in Ghatkopar West, Mumbai",1 BHK Flat,₹75 Lac,"₹12,931 /sqft",580 sqft,(54 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
shree sai prena s r a tower,RESALE,"in Prabhadevi, Mumbai",1 BHK Flat,₹70 Lac,"₹26,022 /sqft",269 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Vishwadeep SRA CHS Ltd,RESALE,"in Charkop, Kandivali West",1 BHK Flat,₹36 Lac,"₹12,857 /sqft",280 sqft,(26 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Yogsiddhi Sumukh Hills,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.35 Cr,"₹20,930 /sqft",645 sqft,(60 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Sai Krupa,RESALE,"in Patel Nagar, Kandivali West",1 BHK Flat,₹75 Lac,"₹27,777 /sqft",270 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Sudhanshu Imperia,RESALE,"in Shivaji Nagar,Bhandup West, Mumbai",1 BHK Flat,₹75 Lac,"₹18,750 /sqft",400 sqft,(37 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Merchant Chambers,RESALE,"in Worli Naka, Mumbai",1 BHK Flat,₹90 Lac,"₹50,000 /sqft",180 sqft,(17 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Geetanjali CHS,RESALE,"in Pratikhsha Nagar, Sion, Mumbai",1 BHK Flat,₹65.5 Lac,"₹20,468 /sqft",320 sqft,(30 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Veena Sagar Cooperative Housing Society,RESALE,"in Veena Nagar, Mulund West",1 BHK Flat,₹58 Lac,"₹15,064 /sqft",385 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Dheeraj Apartment,RESALE,"in Chincholi Bunder, Malad West",1 BHK Flat,₹1.1 Cr,"₹24,444 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
HP Employees,RESALE,"in Tilak nagar, Chembur",1 BHK Flat,₹1.1 Cr,"₹18,032 /sqft",610 sqft,(57 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Omkar CHS,RESALE,"in Ghatkopar East, Mumbai",1 BHK Flat,₹56 Lac,"₹18,064 /sqft",310 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
private building,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹30 Lac,"₹6,666 /sqft",450 sqft,(42 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Matoshree Chayya,RESALE,"in Bhandup East, Mumbai",1 BHK Flat,₹85 Lac,"₹13,821 /sqft",615 sqft,(57 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
Navratna CHS,RESALE,"in Mahim West, Mumbai",1 BHK Flat,₹1.3 Cr,"₹41,269 /sqft",315 sqft,(29 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Gaytri Satsang Lakshminarayan Vishnu Shivam Chs,RESALE,"in Thakur Village, Kandivali East",1 BHK Flat,₹98 Lac,"₹16,333 /sqft",600 sqft,(56 sqm),Built-up Area,1 BHK,(2  Baths),Ready To Move
On Request,RESALE,"in Wadala, Mumbai",1 BHK Flat,₹66 Lac,"₹25,000 /sqft",264 sqft,(25 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Panchratna CHS,RESALE,"in Ekta Nagar, Kandivali West",1 BHK Flat,₹56 Lac,"₹18,300 /sqft",450 sqft,(42 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Natasha Avana,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹62 Lac,"₹18,452 /sqft",336 sqft,(31 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
HDIL Dheeraj Upvan,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹93 Lac,"₹15,500 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
MK BUILDING,RESALE,"in Hallow Pul, Kurla, Mumbai",1 BHK Flat,₹34 Lac,"₹15,111 /sqft",225 sqft,(21 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Ganesh Darshan,RESALE,"in Lokmanya Tilak Nagar, Borivali West",1 BHK Flat,₹1.5 Cr,"₹30,612 /sqft",490 sqft,(46 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
