tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Bhoomi Park,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹91 Lac,"₹20,919 /sqft",625 sqft,(58 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Panam park,RESALE,"in Goraswadi, Malad West",1 BHK Flat,₹1.23 Cr,"₹28,738 /sqft",428 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
"Soham Residency, Hari om Nagar",RESALE,"in Mulund East, Mumbai",1 BHK Flat,₹1.03 Cr,"₹21,961 /sqft",563 sqft,(52 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
Vardhaman Darshan Borivali West,RESALE,"in Borivali West, Mumbai",1 BHK Flat,₹1.45 Cr,"₹33,333 /sqft",435 sqft,(40 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
sanskar,RESALE,"in Dadar West, Mumbai",1 BHK Flat,₹2 Cr,"₹42,553 /sqft",470 sqft,(44 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Dharti Pressidio,RESALE,"in Jankalyan Nagar, Malad West",1 BHK Flat,₹96 Lac,"₹22,911 /sqft",419 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Star Sayba Sapphire,RESALE,"in Kurla west, Mumbai",1 BHK Flat,₹1.1 Cr,"₹18,333 /sqft",600 sqft,(56 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Anita 11 CHS,RESALE,"in Lokhandwala Kandivali East, Mumbai",1 BHK Flat,₹94 Lac,"₹21,363 /sqft",560 sqft,(52 sqm),Super Built-up Area,1 BHK,(1  Bath),Ready To Move
Arihant Darshan CHS,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.07 Cr,"₹17,953 /sqft",596 sqft,(55 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Hiranandani Regent Hill,RESALE,"in Hiranandani Gardens Powai, Mumbai",1 BHK Flat,₹1.55 Cr,"₹39,743 /sqft",390 sqft,(36 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Vaibhavlaxmi Central Park,RESALE,"in Vikhroli East, Mumbai",1 BHK Flat,₹95 Lac,"₹21,590 /sqft",440 sqft,(41 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Sheth Vasant Sagar Complex,RESALE,"in Thakur Village, Kandivali East",1 BHK Flat,₹1.15 Cr,"₹26,744 /sqft",575 sqft,(53 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Kanakia Country Park,RESALE,"in Borivali East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹30,000 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
White City,RESALE,"in Kandivali East, Mumbai",1 BHK Flat,₹1.19 Cr,"₹24,843 /sqft",479 sqft,(45 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
Ajmera Bhakti Park Sector 1 and 2,RESALE,"in Wadala East, Mumbai",1 BHK Flat,₹1.2 Cr,"₹26,555 /sqft",450 sqft,(42 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
Bhandup West Jayshree Apartment,RESALE,"in Bhandup West, Mumbai",1 BHK Flat,₹80 Lac,"₹17,977 /sqft",642 sqft,(60 sqm),Built-up Area,1 BHK,(1  Bath),Ready To Move
