tupleNew__locationName,tupleNew__propType,tupleNew__bOld,tupleNew__rera src,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__possessionBy
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Hanuman Sharan,"in Kemps corner, Malabar Hill, Mumbai",2 BHK Flat,,₹5.3 Cr,"₹64,398 /sqft",823 sqft,(76 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Building no 11,"in New Mig Colony, Bandra",2 BHK Flat,,₹2.75 Cr,"₹36,666 /sqft",750 sqft,(70 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aarey Colony,"in Goregaon East, Mumbai",2 BHK Flat,,₹90 Lac,"₹19,565 /sqft",658 sqft,(61 sqm),Super Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Godrej Central,"in Chembur East, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹2.35 Cr,"₹30,247 /sqft",776 sqft,(72 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
Naminath Khairunnisa Heights,"in Dongri, Umerkhadi, Mumbai",2 BHK Flat,,₹2.35 Cr,"₹38,211 /sqft",918 sqft,(85 sqm),Super Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
unity towers,"in Lower Parel, Mumbai",2 BHK Flat,,₹2.25 Cr,"₹30,000 /sqft",750 sqft,(70 sqm),Super Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Shreeji Darshan,"in Bhagat Colony, Kandivali West",2 BHK Flat,,₹3 Cr,"₹36,809 /sqft",815 sqft,(76 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Aakash Indraprasth Society,"in Satya Nagar, Mumbai",2 BHK Flat,,₹1.7 Cr,"₹24,425 /sqft",696 sqft,(65 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Daga Sofrance,"in Ghatkopar East, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.55 Cr,"₹22,594 /sqft",686 sqft,(64 sqm),Carpet Area,2 BHK,Ready To Move
Transcon Triumph,"in Andheri West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹4.1 Cr,"₹39,047 /sqft","1,050 sqft",(98 sqm),Carpet Area,2 BHK,Ready To Move
,,,,,,,,,,
,,,,,,,,,,
Neelyog Veydaanta,"in Ghatkopar West, Mumbai",2 BHK Flat,https://static.99acres.com/universalapp/img/checkLineGray.svg,₹1.22 Cr,"₹22,181 /sqft",860 sqft,(80 sqm),Super Built-up Area,2 BHK,Ready To Move
,,,,,,,,,,
